county_id,county,region_id,council_website,image,other
E06000047,County Durham,E15000001,,,
E06000005,Darlington,E15000001,,,
E06000001,Hartlepool,E15000001,,,
E06000002,Middlesbrough,E15000001,,,
E06000057,Northumberland,E15000001,,,
E06000003,Redcar and Cleveland,E15000001,,,
E06000004,Stockton-on-Tees,E15000001,,,
E11000007,Tyne and Wear (Met County),E15000001,,,
E06000008,Blackburn with Darwen,E15000002,,,
E06000009,Blackpool,E15000002,,,
E06000049,Cheshire East,E15000002,,,
E06000050,Cheshire West and Chester,E15000002,,,
E06000006,Halton,E15000002,,,
E06000007,Warrington,E15000002,,,
E11000001,Greater Manchester (Met County),E15000002,,,
E10000006,Cumbria,E15000002,,,
E10000017,Lancashire,E15000002,,,
E11000002,Merseyside (Met County),E15000002,,,
E06000011,East Riding of Yorkshire,E15000003,,,
E06000010,"Kingston upon Hull, City of",E15000003,,,
E06000012,North East Lincolnshire,E15000003,,,
E06000013,North Lincolnshire,E15000003,,,
E06000014,York,E15000003,,,
E11000003,South Yorkshire (Met County),E15000003,,,
E10000023,North Yorkshire,E15000003,,,
E11000006,West Yorkshire (Met County),E15000003,,,
E06000015,Derby,E15000004,,,
E06000016,Leicester,E15000004,,,
E06000018,Nottingham,E15000004,,,
E06000017,Rutland,E15000004,,,
E10000018,Leicestershire,E15000004,,,
E10000007,Derbyshire,E15000004,,,
E10000019,Lincolnshire,E15000004,,,
E10000021,Northamptonshire,E15000004,,,
E10000024,Nottinghamshire,E15000004,,,
E06000019,"Herefordshire, County of",E15000005,,,
E06000051,Shropshire,E15000005,,,
E06000021,Stoke-on-Trent,E15000005,,,
E06000020,Telford and Wrekin,E15000005,,,
E10000031,Warwickshire,E15000005,,,
E10000028,Staffordshire,E15000005,,,
E11000005,West Midlands (Met County),E15000005,,,
E10000034,Worcestershire,E15000005,,,
E06000055,Bedford,E15000006,,,
E06000056,Central Bedfordshire,E15000006,,,
E06000032,Luton,E15000006,,,
E06000031,Peterborough,E15000006,,,
E06000033,Southend-on-Sea,E15000006,,,
E06000034,Thurrock,E15000006,,,
E10000012,Essex,E15000006,,,
E10000003,Cambridgeshire,E15000006,,,
E10000015,Hertfordshire,E15000006,,,
E10000020,Norfolk,E15000006,,,
E10000029,Suffolk,E15000006,,,
E13000001,Inner London,E15000007,,,
E13000002,Outer London,E15000007,,,
E06000036,Bracknell Forest,E15000008,,,
E06000043,Brighton and Hove,E15000008,,,
E06000046,Isle of Wight,E15000008,,,
E06000035,Medway,E15000008,,,
E06000042,Milton Keynes,E15000008,,,
E06000044,Portsmouth,E15000008,,,
E06000038,Reading,E15000008,,,
E06000039,Slough,E15000008,,,
E06000045,Southampton,E15000008,,,
E06000037,West Berkshire,E15000008,,,
E06000040,Windsor and Maidenhead,E15000008,,,
E06000041,Wokingham,E15000008,,,
E10000011,East Sussex,E15000008,,,
E10000002,Buckinghamshire,E15000008,,,
E10000014,Hampshire,E15000008,,,
E10000016,Kent,E15000008,,,
E10000025,Oxfordshire,E15000008,,,
E10000030,Surrey,E15000008,https://www.surreycc.gov.uk/,,https://www.visitsurrey.com/things-to-do/attractions
E10000032,West Sussex,E15000008,,,
E06000022,Bath and North East Somerset,E15000009,,,
E06000028,Bournemouth,E15000009,,,
E06000023,"Bristol, City of",E15000009,,,
E06000052,Cornwall,E15000009,,,
E06000053,Isles of Scilly,E15000009,,,
E06000024,North Somerset,E15000009,,,
E06000026,Plymouth,E15000009,,,
E06000029,Poole,E15000009,,,
E06000025,South Gloucestershire,E15000009,,,
E06000030,Swindon,E15000009,,,
E06000027,Torbay,E15000009,,,
E06000054,Wiltshire,E15000009,,,
E10000027,Somerset,E15000009,,,
E10000008,Devon,E15000009,,,
E10000009,Dorset,E15000009,,,
E10000013,Gloucestershire,E15000009,,,
